Format,2.0A
Memory Length,5000
IntpDistance,0
Trigger Address,-53321
Trigger Level,1.640E-01
Source,CH2
Vertical Units,V
Vertical Units Div,0
Vertical Units Extend Div,13
Label,
Probe Type,0
Probe,1.000e+00
Vertical Scale,1.000e-01
Vertical Position,0.000e+00
Horizontal Units,S
Horizontal Scale,5.000E-03
Horizontal Position,5.582E-01
Horizontal Mode,Main
SincET Mode,Real Time
Sampling Period,1.000e-05
Horizontal Old Scale,5.000E-03
Horizontal Old Position,5.582E-01
Firmware,V1.15
Time,18-Jul-18 13:20:03
Waveform Data
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
78,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
78,
78,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
78,
79,
79,
78,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
78,
79,
78,
78,
79,
79,
79,
79,
79,
79,
79,
78,
79,
79,
79,
79,
79,
79,
79,
79,
79,
78,
79,
78,
79,
79,
79,
79,
79,
79,
79,
79,
78,
79,
78,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
78,
78,
79,
78,
79,
79,
79,
79,
79,
79,
79,
79,
79,
79,
78,
79,
78,
78,
78,
78,
78,
79,
78,
79,
79,
78,
78,
78,
78,
79,
78,
78,
78,
78,
78,
78,
79,
79,
78,
78,
79,
78,
78,
78,
78,
78,
79,
78,
79,
78,
78,
78,
79,
79,
79,
78,
78,
78,
79,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
78,
